yolo_input.conv.weights                            backbone.conv0.conv.weight                        
stage.2.2.0.bn.mean                                backbone.stage.2.stage.2.2.conv1.batch_norm._mean 
stage.2.2.0.bn.var                                 backbone.stage.2.stage.2.2.conv1.batch_norm._variance
stage.2.2.1.conv.weights                           backbone.stage.2.stage.2.2.conv2.conv.weight      
stage.2.2.1.bn.scale                               backbone.stage.2.stage.2.2.conv2.batch_norm.weight
stage.2.2.1.bn.offset                              backbone.stage.2.stage.2.2.conv2.batch_norm.bias  
stage.2.2.1.bn.mean                                backbone.stage.2.stage.2.2.conv2.batch_norm._mean 
stage.2.2.1.bn.var                                 backbone.stage.2.stage.2.2.conv2.batch_norm._variance
stage.2.3.0.conv.weights                           backbone.stage.2.stage.2.3.conv1.conv.weight      
stage.2.3.0.bn.scale                               backbone.stage.2.stage.2.3.conv1.batch_norm.weight
stage.2.3.0.bn.offset                              backbone.stage.2.stage.2.3.conv1.batch_norm.bias  
stage.2.3.0.bn.mean                                backbone.stage.2.stage.2.3.conv1.batch_norm._mean 
stage.2.3.0.bn.var                                 backbone.stage.2.stage.2.3.conv1.batch_norm._variance
stage.2.3.1.conv.weights                           backbone.stage.2.stage.2.3.conv2.conv.weight      
stage.2.3.1.bn.scale                               backbone.stage.2.stage.2.3.conv2.batch_norm.weight
stage.2.3.1.bn.offset                              backbone.stage.2.stage.2.3.conv2.batch_norm.bias  
stage.2.3.1.bn.mean                                backbone.stage.2.stage.2.3.conv2.batch_norm._mean 
stage.2.3.1.bn.var                                 backbone.stage.2.stage.2.3.conv2.batch_norm._variance
stage.2.4.0.conv.weights                           backbone.stage.2.stage.2.4.conv1.conv.weight      
stage.2.4.0.bn.scale                               backbone.stage.2.stage.2.4.conv1.batch_norm.weight
stage.2.4.0.bn.offset                              backbone.stage.2.stage.2.4.conv1.batch_norm.bias  
stage.2.4.0.bn.mean                                backbone.stage.2.stage.2.4.conv1.batch_norm._mean 
stage.2.4.0.bn.var                                 backbone.stage.2.stage.2.4.conv1.batch_norm._variance
stage.2.4.1.conv.weights                           backbone.stage.2.stage.2.4.conv2.conv.weight      
stage.2.4.1.bn.scale                               backbone.stage.2.stage.2.4.conv2.batch_norm.weight
stage.2.4.1.bn.offset                              backbone.stage.2.stage.2.4.conv2.batch_norm.bias  
stage.2.4.1.bn.mean                                backbone.stage.2.stage.2.4.conv2.batch_norm._mean 
stage.2.4.1.bn.var                                 backbone.stage.2.stage.2.4.conv2.batch_norm._variance
stage.2.5.0.conv.weights                           backbone.stage.2.stage.2.5.conv1.conv.weight      
stage.2.5.0.bn.scale                               backbone.stage.2.stage.2.5.conv1.batch_norm.weight
stage.2.5.0.bn.offset                              backbone.stage.2.stage.2.5.conv1.batch_norm.bias  
stage.2.5.0.bn.mean                                backbone.stage.2.stage.2.5.conv1.batch_norm._mean 
stage.2.5.0.bn.var                                 backbone.stage.2.stage.2.5.conv1.batch_norm._variance
stage.2.5.1.conv.weights                           backbone.stage.2.stage.2.5.conv2.conv.weight      
stage.2.5.1.bn.scale                               backbone.stage.2.stage.2.5.conv2.batch_norm.weight
stage.2.5.1.bn.offset                              backbone.stage.2.stage.2.5.conv2.batch_norm.bias  
stage.2.5.1.bn.mean                                backbone.stage.2.stage.2.5.conv2.batch_norm._mean 
stage.2.5.1.bn.var                                 backbone.stage.2.stage.2.5.conv2.batch_norm._variance
stage.2.6.0.conv.weights                           backbone.stage.2.stage.2.6.conv1.conv.weight      
stage.2.6.0.bn.scale                               backbone.stage.2.stage.2.6.conv1.batch_norm.weight
